"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",18479.0296101275,1,0,"1_vs_0",0,"phylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",50453.059679471,1,0,"1_vs_0",0,"phylum"
"ef26904830b91caa86a460c041c77fd4",2.47417996605085e-81,"p",128181.214787381,1,0,"1_vs_0",6.59781324280227e-81,"phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",49622.9964780295,1,0,"1_vs_0",0,"phylum"
"9aa3baf0e1ca0d9f7c5b119e42c52153",3.6680847347493e-21,"p",16132.980160027,1,0,"1_vs_0",7.3361694694986e-21,"phylum"
"c1f83bd0eac0f5b9b6bb409c55d831e0",2.64410977743378e-157,"p",10959.0319862363,1,0,"1_vs_0",8.46115128778809e-157,"phylum"
"183d7a6a20b38695342d58bce245f3be",4.07804783933363e-219,"p",13654.8726731371,1,0,"1_vs_0",1.63121913573345e-218,"phylum"
"8bd14caf6a3b2664d15ef6c5d7a23eef",0.276329190998421,"p",8452.28105348764,1,0,"1_vs_0",0.34009746584421,"phylum"
"777bf3ba74100b7a4dbd872959a84eeb",0.101807114315692,"p",6694.27292600708,1,0,"1_vs_0",0.135742819087589,"phylum"
"ae71c2e538a51e571a12a1d35ecb3975",2.55647811679285e-22,"p",2987.12681786882,1,0,"1_vs_0",5.84337855266936e-22,"phylum"
"f50d1d42a442560b41612992aa2a07c3",2.32927675548528e-11,"p",2108.65058472302,1,0,"1_vs_0",4.14093645419606e-11,"phylum"
"54990f8a1d19297ca852c5f1a8077299",0.000774921305760924,"p",397.858062942084,1,0,"1_vs_0",0.00123987408921748,"phylum"
"36b0b251d44111826aa72760204004f9",0.0379807328774683,"p",306.792755425017,1,0,"1_vs_0",0.0552447023672266,"phylum"
"0ed4ba32ebfb689312a43dd1d7ed8184",0.990696457678765,"p",82.4081772946935,1,0,"1_vs_0",0.996603504027584,"phylum"
"002de19ab0f5022890e5b0d5b70d03e5",0.996603504027582,"p",18.3107612256019,1,0,"1_vs_0",0.996603504027584,"phylum"
"536092e795cffb88b773ce7a825bf36e",0.996603504027584,"p",17.1737913627345,1,0,"1_vs_0",0.996603504027584,"phylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",18459.2734088709,1,0,"1_vs_0",0,"order"
"ef26904830b91caa86a460c041c77fd4",2.60677136212159e-77,"p",130327.453465515,1,0,"1_vs_0",1.1611981522178e-76,"order"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",79728.9322569121,1,0,"1_vs_0",0,"order"
"abdbe368fbd4c7c608e05ef71713340a",0,"p",33861.8616846033,1,0,"1_vs_0",0,"order"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",49620.9479340642,1,0,"1_vs_0",0,"order"
"012ef658933550c9ae6719455ba247de",0,"p",22578.6075437916,1,0,"1_vs_0",0,"order"
"9aa3baf0e1ca0d9f7c5b119e42c52153",3.35758664405732e-21,"p",16134.1165550103,1,0,"1_vs_0",8.22608727794044e-21,"order"
"30d87e91be256a2b5f96b636ef04cda2",4.12003552656152e-26,"p",15339.2698664787,1,0,"1_vs_0",1.12156522667508e-25,"order"
"183d7a6a20b38695342d58bce245f3be",4.93271160238297e-219,"p",13654.5869499207,1,0,"1_vs_0",3.45289812166808e-218,"order"
"4f75b2e18a41280d3a51b71dfd217114",8.21782022237497e-206,"p",10699.8592482443,1,0,"1_vs_0",5.03341488620467e-205,"order"
"a1383ebba0a369e5027e252e0f7587c3",2.14252810715455e-278,"p",8415.34748015509,1,0,"1_vs_0",1.74973128750955e-277,"order"
"efe7cb6441176642e881f2abe0b4566f",3.85891745336387e-34,"p",5334.37951137751,1,0,"1_vs_0",1.18179347009268e-33,"order"
"8bd14caf6a3b2664d15ef6c5d7a23eef",0.279783913328159,"p",8454.4801443912,1,0,"1_vs_0",0.446550303108344,"order"
"c1f83bd0eac0f5b9b6bb409c55d831e0",1.4059266577855e-91,"p",10833.1552973624,1,0,"1_vs_0",7.6544895812766e-91,"order"
"667c7ff5d8981b1c1eb8efc23b295ca2",0.282511416252218,"p",6230.57140578568,1,0,"1_vs_0",0.446550303108344,"order"
"218d7fe9eb2b82133c504cb4c7ab8076",4.99988460559309e-53,"p",5386.11813894615,1,0,"1_vs_0",1.88457188980047e-52,"order"
"777bf3ba74100b7a4dbd872959a84eeb",0.102628933738193,"p",6693.90241645399,1,0,"1_vs_0",0.17340750873005,"order"
"fe1644129eb6fb34078f939c04915813",3.36454957458054e-36,"p",7745.25215323059,1,0,"1_vs_0",1.09908619436298e-35,"order"
"2717c55a33435a4cf9c4953837bac9f4",3.30794537789527e-28,"p",3484.74868375068,1,0,"1_vs_0",9.53466608922755e-28,"order"
"d28313e755b0d735a3f5db93b60345b9",0.441845808778697,"p",3309.87306189511,1,0,"1_vs_0",0.60140123972656,"order"
"ae71c2e538a51e571a12a1d35ecb3975",2.60701624752051e-22,"p",2987.02462777027,1,0,"1_vs_0",6.72335769097394e-22,"order"
"7564945495f0d840065ec35193e54153",5.12448979352088e-80,"p",1536.65827188308,1,0,"1_vs_0",2.51099999882523e-79,"order"
"032fc3717d8136fccddb555b0aa201a3",2.04641039922509e-72,"p",3174.90052895851,1,0,"1_vs_0",8.35617579683577e-72,"order"
"bd5234b0aaa60ba523cb74655725193c",5.81602510269967e-08,"p",2606.6694174346,1,0,"1_vs_0",1.29538740923765e-07,"order"
"f50d1d42a442560b41612992aa2a07c3",2.35999199236031e-11,"p",2108.75492550128,1,0,"1_vs_0",5.50664798217406e-11,"order"
"f0b52d5da8a6dfae05a2c3125f970408",4.3687709131149e-41,"p",1682.30729713904,1,0,"1_vs_0",1.52906981959021e-40,"order"
"d0fae733b7242a6aa4da9bb089246416",1.17068495689699e-07,"p",914.298295175511,1,0,"1_vs_0",2.4940679516501e-07,"order"
"220a9561f31211deb4aed7c6805ac8e8",0.000225988826193064,"p",603.484606194658,1,0,"1_vs_0",0.000442938099338406,"order"
"5b453df6de22132fb2563df13a7731f3",0.00819275282429669,"p",475.384198207249,1,0,"1_vs_0",0.0154401880150207,"order"
"d730e96249a0e8a57ac0afbe9d7e29e5",0.809732612337818,"p",415.939288398332,1,0,"1_vs_0",0.996603520877107,"order"
"54990f8a1d19297ca852c5f1a8077299",0.02560132093332,"p",390.315275759458,1,0,"1_vs_0",0.0464616565086178,"order"
"64b2878acd46b25aa1c29c807aafa506",2.13244350994658e-06,"p",312.98606725315,1,0,"1_vs_0",4.35373883280759e-06,"order"
"36b0b251d44111826aa72760204004f9",0.0380362312402022,"p",306.83896318647,1,0,"1_vs_0",0.0665634046703538,"order"
"9254799d4a8b65d9ecf85599fec186e3",0.670819647865895,"p",274.899387331801,1,0,"1_vs_0",0.888382776903482,"order"
"509009e23b0b5922f0580934f82f256e",0.990760026966527,"p",88.8006882977127,1,0,"1_vs_0",0.996603520877107,"order"
"20a1660a7a223afa756767338e4070e0",0.990589258098651,"p",107.229301204809,1,0,"1_vs_0",0.996603520877107,"order"
"0ed4ba32ebfb689312a43dd1d7ed8184",0.990696503195164,"p",82.4074088502309,1,0,"1_vs_0",0.996603520877107,"order"
"8469df96133113f92939d40d2c28b015",0.324067096204058,"p",206.752378478296,1,0,"1_vs_0",0.481190536787844,"order"
"5f1df7c6a1ef58d2e5c8343cdde3eac3",0.439385866332401,"p",155.482722351519,1,0,"1_vs_0",0.60140123972656,"order"
"3ba0b53748d15732a532c6f9529e51e0",0.994322370058079,"p",49.2436135642596,1,0,"1_vs_0",0.996603520877107,"order"
"4a1022dff830f4264b5bc30eefdabdf2",0.994131802639664,"p",61.957707133737,1,0,"1_vs_0",0.996603520877107,"order"
"88405aaacec2909224b83feb41e70da6",0.365798350106438,"p",60.9665373506953,1,0,"1_vs_0",0.527179975153396,"order"
"232a393b743059f8ea5ab237366dcd6c",0.314831215170686,"p",50.8021846453285,1,0,"1_vs_0",0.481190536787844,"order"
"f65b7ddde2bd3ad845dc9d701333a7fc",0.996001317204627,"p",23.8350222716227,1,0,"1_vs_0",0.996603520877107,"order"
"002de19ab0f5022890e5b0d5b70d03e5",0.996603520877107,"p",18.3106708203711,1,0,"1_vs_0",0.996603520877107,"order"
"141d2243a2962449d048c866d7336aac",0.996087652139095,"p",18.2900164881869,1,0,"1_vs_0",0.996603520877107,"order"
"536092e795cffb88b773ce7a825bf36e",0.996603520877107,"p",17.1737009575036,1,0,"1_vs_0",0.996603520877107,"order"
"8fad62a1de42b143be936d71c98dc28f",0.996603520877104,"p",18.404031356672,1,0,"1_vs_0",0.996603520877107,"order"
"a923f0209bea2c56cf370129ae7ad53e",0.996603520877107,"p",18.404031356672,1,0,"1_vs_0",0.996603520877107,"order"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",174266.646859678,1,0,"1_vs_0",0,"genus"
"ddb5124b46f97d3a81bcba281fde7ee7",0,"p",211359.616626558,1,0,"1_vs_0",0,"genus"
"6a2635af5e61db824708f2a95508a4b5",0,"p",167328.73576863,1,0,"1_vs_0",0,"genus"
"1e44183228ee1bab30a2a69f16aee8c6",0,"p",110106.911890961,1,0,"1_vs_0",0,"genus"
"7ec2e0de3e22b59c14e75484480b550c",0,"p",56026.476136397,1,0,"1_vs_0",0,"genus"
"ef26904830b91caa86a460c041c77fd4",3.1919845377579e-78,"p",131245.719039907,1,0,"1_vs_0",2.02919017043181e-77,"genus"
"ef868a9f9181104c630bce11a89cffee",2.62119080191525e-57,"p",186152.670699378,1,0,"1_vs_0",1.41385443254823e-56,"genus"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",79285.836261175,1,0,"1_vs_0",0,"genus"
"8a76ae8f05f80339a90912b26ea25f46",0,"p",127673.636158036,1,0,"1_vs_0",0,"genus"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",49329.2612625866,1,0,"1_vs_0",0,"genus"
"31838e38978812ddc9e0a8a7d40cc0c2",0,"p",34707.6884177487,1,0,"1_vs_0",0,"genus"
