"OTU","g1vsg2","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"e31f9ce930e813ad3cc0390b0f8b5a9c","TBI_EE_SIN_COH_vs_SHAM_STD","genus",4,"teria","teroidota","teroidia","teroidales","nerellaceae","abacteroides"
"ebdd31c2ddfb8569d611a614383e615c","TBI_EE_COH_vs_SHAM_EE","genus",3,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"ef26904830b91caa86a460c041c77fd4","TBI_EE_SIN_COH_vs_SHAM_EE","phylum",1,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_SHAM_STD","order",1,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_EE_SIN_COH_vs_SHAM_STD","order",1,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_SHAM_STD","genus",3,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"ef26904830b91caa86a460c041c77fd4","TBI_EE_SIN_COH_vs_SHAM_STD","genus",3,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"ef868a9f9181104c630bce11a89cffee","TBI_STD_vs_SHAM_STD","genus",4,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","TBI_STD_vs_SHAM_EE","genus",1,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","TBI_EE_COH_vs_SHAM_EE","genus",1,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","TBI_EE_SIN_COH_vs_SHAM_EE","genus",2,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","SHAM_STD_vs_SHAM_EE","genus",1,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"fe1644129eb6fb34078f939c04915813","TBI_EE_SIN_COH_vs_SHAM_EE","order",4,"teria","teobacteria","haproteobacteria","dospirillales",NA,NA
"fe1644129eb6fb34078f939c04915813","TBI_EE_SIN_COH_vs_SHAM_EE","genus",5,"teria","teobacteria","haproteobacteria","dospirillales","ultured","ultured"
