"ID","Sample","Abundance","grupo","muestra","ganancia","tasa","pata_derecha","pata_izquierda","enderezamiento","dia1","dia2","dia3","dia4","dia5","visible","s","o","n","e","plat","soma_ca1_ipsi","area_ca1_ipsi","ratio_ca1_ipsi","activacion_ca1_ipsi","soma_hilus_ipsi","area_hilus_ipsi","ratio_hilus_ipsi","activacion_hilus_ipsi","soma_cortex_ipsi","area_cortex_ipsi","ratio_cortex_ipsi","activacion_cortex_ipsi","soma_ca1_contra","area_ca1_contra","ratio_ca1_contra","activacion_ca1_contra","soma_hilus_contra","area_hilus_contra","ratio_hilus_contra","activacion_hilus_contra","soma_cortex_contra","area_cortex_contra","ratio_cortex_contra","activacion_cortex_contra","inflamacion","injury","Kingdom","Phylum","Class","Order","Family","Genus"
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0017",79589,"TBI_STD","S00PP-0017",145,3.385448727,193,191,208,93.5,80.25,59,37.75,38.75,8,13.15789474,29.91689751,29.50138504,27.42382271,3.324099723,48.54305,1892.20685,40.09970134,15,61.25385,1100.96315,20.27029559,65,52.49805,1391.0771,29.54253673,25,47.15275,2044.61635,47.18299139,5,86.61495,1672.49155,21.79240274,55,98.1398,1830.6912,21.71073837,75,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0022",67594,"TBI_EE_COH","S00PP-0022",138,3.156081167,86,86,253,21.5,55.25,24.75,30.75,42,15,32.87292818,29.97237569,27.0718232,10.08287293,4.143646409,60.49995,1665.95785,29.19175403,40,53.75485,1491.58065,29.73800807,45,59.0504,1324.69685,25.10925012,45,60.6351,1920.2316,35.11781073,25,58.78745,1864.3173,34.52565761,35,57.8037,2017.13085,35.26986336,20,0,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0027",62578,"TBI_EE_SIN_COH","S00PP-0027",114,2.899795189,88,85,119,58,37.5,36.25,13.75,14.25,11,34.48753463,35.04155125,11.91135734,18.55955679,30,86.31545,1980.8867,25.21540816,45,82.7518,1102.46065,16.31366818,80,78.13725,1652.6292,22.27415698,60,100.57935,2953.150815,32.85082868,35,84.536,1739.3532,22.74493496,55,75.83745,2690.90725,39.42539979,10,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0025",60746,"TBI_EE_SIN_COH","S00PP-0025",88,4.635260854,119,137,369,56,23.5,25.5,10.25,11.5,8,0,30.93922652,65.8839779,3.17679558,14.64088398,69.51775,1477.89205,23.13245551,55,79.2698,1286.38185,18.4141484,70,80.5136,1765.7634,25.2389901,55,59.633,2731.4173,50.17651205,5,60.96535,1798.84075,31.02482517,30,60.9371,2570.7007,43.11893029,0,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0023",58314,"TBI_EE_COH","S00PP-0023",104,3.404168309,113,125,328,76.25,40.75,42.5,39.75,36.25,7,30.84370678,29.5988935,13.69294606,25.86445367,2.35131397,54.2993,1888.87375,40.34646617,30,48.1972,898.035,19.56769937,65,55.2584,1175.4596,22.12444973,50,61.1489,2592.08745,43.39113996,0,60.26635,2272.07235,40.87433457,15,54.107,2232.56485,42.48396057,0,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0014",57811,"TBI_STD","S00PP-0014",141,3.077245556,71,83,148,58.75,60.75,61,22.25,29.75,6,34.41011236,12.35955056,24.43820225,28.79213483,3.93258427,47.52705,1616.04135,35.15897162,5,69.07625,1055.6022,16.41758114,70,76.41285,1214.19295,20.04070323,65,58.2461,2269.8695,42.01598539,5,66.42205,1622.9834,26.75183752,40,68.0187,1808.8134,29.30952334,30,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0026",57209,"TBI_EE_SIN_COH","S00PP-0026",124,3.547762955,106,108,250,47.5,41,25.75,12.5,7.25,9,6.232686981,64.95844875,24.51523546,4.293628809,6.232686981,55.80655,1336.986,26.68901145,45,50.91335,1125.704,23.76793147,65,56.4603,1445.94505,27.58242421,55,55.4991,2780.8028,55.34995785,10,63.6965,2285.9469,38.54233642,15,54.97425,2440.0358,48.08992752,10,0,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0006",55727,"SHAM_STD","S00PP-0006",154,4.037757606,56,58,210,40.75,15.75,13,12.75,6,8,29.2243767,24.5152355,45.7063712,0.55401662,5.67867036,54.4895,2074.03405,39.84553301,15,51.43355,1733.8545,37.04649781,20,53.04685,2433.06895,47.29288,0,55.31275,2245.27745,41.95790224,0,46.69905,1580.98125,35.12179574,20,56.00475,2421.89495,44.26187991,5,0,0,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0001",52107,"SHAM_STD","S00PP-0001",118,2.690546444,160,162,217,74.75,22.75,29.25,9.25,19.75,8,48.39067703,7.103218646,1.331853496,43.17425083,30,51.52425,1932.5908,42.91792572,15,62.8423,1739.687,30.15579731,40,59.0956,2285.5034,40.97224922,5,59.69735,2589.38005,46.27581007,5,61.25415,1809.87625,30.9882589,30,59.31335,2131.1968,37.9179558,15,0,0,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0013",51366,"TBI_STD","S00PP-0013",133,3.822557081,120,135,320,120,40.25,35.25,46.25,28.25,39,49.72253052,7.658157603,31.74250832,10.87680355,2.663706992,49.94725,1506.12405,31.60137947,30,55.1725,957.09065,18.93923128,60,76.62735,1191.93565,16.75805535,85,49.20135,2472.6477,57.18372964,5,66.933,2052.3105,32.75889867,25,61.17005,2331.52795,38.92797648,10,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0019",49215,"TBI_EE_COH","S00PP-0019",129,3.377060115,116,118,555,76.75,44,46.25,30.75,26,15,27.63596004,19.2008879,29.07880133,24.08435072,30,64.31805,2280.83495,39.21051304,20,64.52915,1866.3198,31.10680431,30,55.4704,2327.6684,46.98951798,5,55.6784,2906.01825,52.8391729,5,61.65715,2494.8772,43.6241936,20,67.25645,2549.96395,41.26692038,10,0,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0015",47774,"TBI_STD","S00PP-0015",127,2.486347954,91,110,190,120,86.75,48.25,34.5,31,24,30.89655172,59.5862069,4,5.517241379,30,49.0378,1536.5873,33.20427259,10,79.16645,917.40535,13.73755345,75,73.1114,1155.21155,17.50123532,75,63.6825,2131.3229,36.4992872,15,68.48025,1568.71635,26.89437726,40,61.56135,1780.166,31.36085433,15,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0030",46410,"TBI_EE_SIN_COH","S00PP-0030",143,4.241127461,79,75,285,62.5,44.25,22.5,17.75,10.5,9,14.12742382,30.47091413,47.50692521,7.894736842,8.587257618,62.8797,1357.31545,22.98456572,60,64.4188,772.53635,12.7346495,100,63.27675,1480.9251,24.2653134,45,55.18155,2449.9788,47.0837231,10,56.87105,1768.4759,32.05459974,20,59.0646,2027.5122,35.69220353,15,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0008",46197,"SHAM_EE","S00PP-0008",100,3.342713655,94,104,189,28,4,6.25,16.75,11.75,13,16.09322974,10.43285239,12.31964484,61.15427303,3.32963374,48.0642,2775.4998,66.75145535,5,55.11025,1956.0274,39.65382181,20,61.87315,2364.98995,41.12417106,10,47.65105,2820.21295,67.79375908,5,56.3266,1826.64805,33.45012767,20,52.5015,2175.6864,47.32135278,20,0,0,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0003",46068,"SHAM_STD","S00PP-0003",114,3.386921045,84,107,224,74,27,14,17.25,14.5,24,22.57617729,31.85595568,39.61218837,5.95567867,2.493074792,59.13485,2557.21845,45.80631083,10,67.57805,1711.83205,26.11811907,45,61.78785,2173.9275,37.58855276,10,66.7717,2655.5564,43.75163627,0,62.42665,2173.2605,36.65032388,20,65.20035,2037.37235,31.65426484,15,0,0,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0002",43724,"SHAM_STD","S00PP-0002",133,3.777534996,57,55,209,39.25,18,18,16.25,12.5,6,6.805555556,39.30555556,45.41666667,8.472222222,6.388888889,65.61695,3125.7418,51.1421226,10,69.75095,2307.9364,34.75941788,10,76.4067,2377.82205,33.68507726,25,63.39045,2579.36445,42.71700955,5,74.53455,2248.4095,32.5993105,10,73.20145,2194.0132,31.77912442,30,0,0,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0028",43152,"TBI_EE_SIN_COH","S00PP-0028",127,3.201313111,61,64,205,59,29.75,8.25,5,13.75,4,27.00831025,20.08310249,46.81440443,6.094182825,5.95567867,45.7231,1239.34015,29.84007818,45,56.6117,802.70449,15.51438101,75,52.68695,1484.1512,29.59661422,30,48.0978,2149.95915,49.21284906,5,53.4814,1674.20045,32.41538208,20,55.68485,2037.976,37.97342938,10,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0004",42187,"SHAM_STD","S00PP-0004",158,3.621168929,171,180,220,50.5,28,19,31,9.75,6,16.02209945,40.46961326,27.0718232,16.43646409,2.486187845,72.6183,2530.3112,39.21278511,20,84.0197,2135.8466,27.27335445,35,76.3022,2368.09675,32.96234939,15,67.42135,2277.51605,36.05206663,20,84.57605,2102.15265,25.87893427,40,75.5293,2221.76305,31.14174897,40,0,0,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0018",41577,"TBI_STD","S00PP-0018",148,3.200845706,107,104,319,90.75,54.25,29.5,28.5,20.25,12,11.4799447,18.395574,58.6445367,11.4799447,30,49.86085,1618.1596,33.46217962,15,64.5792,826.29595,13.29774679,85,66.98775,1207.5528,18.98809603,70,52.54775,1928.3619,37.77976277,5,60.7709,1835.0566,33.25646588,30,68.0861,2252.02765,35.25006501,10,1,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0009",38879,"SHAM_EE","S00PP-0009",120,2.963241139,166,167,198,18.5,41.25,18.75,5.25,14.75,5,36.84794673,20.97669256,24.63928968,17.53607103,1.331853496,79.2459,2535.8337,36.93517335,20,58.66685,1506.7464,28.461668,55,75.8782,1841.2417,28.39586086,45,53.0652,2359.5549,46.92110981,10,55.39935,1911.29875,36.68775681,25,58.7136,2301.9774,41.46985959,5,0,0,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0020",36907,"TBI_EE_COH","S00PP-0020",109,2.642291342,107,130,257,73,35.5,22.25,43.75,9.5,8,44.54244763,6.394707828,9.592061742,39.4707828,4.630650496,60.62855,3016.365,52.82366689,10,74.62695,1738.2299,26.30990517,60,71.3187,2192.30815,34.5793623,30,64.1642,2159.3123,38.1304702,35,68.31365,2247.23925,38.76574973,30,66.7328,2312.4526,36.82541402,5,0,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0016",34301,"TBI_STD","S00PP-0016",143,3.795829679,73,84,403,91,55.75,52.75,53.75,26.25,10,6.491712707,7.596685083,29.6961326,56.21546961,4.005524862,55.68335,2104.44065,42.88310298,40,62.62025,1237.230815,25.67793465,65,57.99175,1352.5917,23.87415601,55,48.3435,2772.17465,61.26902163,0,53.8058,2601.23025,51.64913956,10,54.5545,2894.61175,53.71596386,0,0,1,"Bacteria","Bacteroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0011",33483,"SHAM_EE","S00PP-0011",130,3.12600363,55,52,98,86.5,33.5,24.75,15.25,26.25,22,31.30193906,41.41274238,4.709141274,22.57617729,30,63.11015,2493.04075,42.33424184,10,56.93185,1668.32495,31.20949471,20,64.16855,2439.42165,39.47429023,0,62.65975,2102.4544,37.36179685,15,71.7824,1938.04675,28.4027881,25,60.6797,2228.76535,38.74843116,10,0,0,"Bacteria","Bacteroidota",NA,NA,NA,NA
