"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel","sign_rank","OtuClass"
"4f75b2e18a41280d3a51b71dfd217114",0,"nb",9507.08243212476,1,0,"1_vs_0",0,"order",1,"4f75b2e18a41280d3a51b71dfd217114order"
"ef868a9f9181104c630bce11a89cffee",0,"nb",180897.547255099,1,0,"1_vs_0",0,"genus",2,"ef868a9f9181104c630bce11a89cffeegenus"
"3c74744397053ce981bef9ea5e0bc926",0,"nb",24786.344691813,1,0,"1_vs_0",0,"genus",3,"3c74744397053ce981bef9ea5e0bc926genus"
"4f75b2e18a41280d3a51b71dfd217114",0,"nb",9442.09187678993,1,0,"1_vs_0",0,"genus",4,"4f75b2e18a41280d3a51b71dfd217114genus"
"cc123101a9c3b4bab74a5a3407e5d5be",6.92517044272236e-293,"nb",4551.80199164897,1,0,"1_vs_0",3.08170084701145e-291,"genus",5,"cc123101a9c3b4bab74a5a3407e5d5begenus"
