"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"012ef658933550c9ae6719455ba247de_order","S00PP-0004",1617,"teria","micutes","stridia","illospirales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0030",1614,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0012",1590,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0005",1574,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0024",1537,"teria","micutes","stridia","illospirales",NA,NA
"abdbe368fbd4c7c608e05ef71713340a_order","S00PP-0027",1521,"teria","micutes","stridia","hnospirales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0006",1451,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0008",1333,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"abdbe368fbd4c7c608e05ef71713340a_order","S00PP-0013",1332,"teria","micutes","stridia","hnospirales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0011",1329,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0013",1233,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0016",1208,"teria","micutes","stridia","illospirales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0002",1128,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0029",1100,"teria","micutes","stridia","illospirales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0028",1024,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0009",973,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0016",949,"teria","micutes","illi","tobacillales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0028",942,"teria","micutes","stridia","illospirales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0009",933,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0022",928,"teria","micutes","stridia","illospirales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0021",821,"teria","micutes","illi","tobacillales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0027",776,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0014",770,"teria","micutes","illi","tobacillales",NA,NA
