"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0010",430,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0014",413,"teria","micutes","illi","9",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0011",412,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0008",390,"teria","micutes","illi","9",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0027",362,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0001",287,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0012",252,"teria","micutes","stridia","oglobales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0022",252,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0025",222,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0021",195,"teria","micutes","stridia","oglobales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0014",194,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0008",164,"teria","micutes","stridia","oglobales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0020",159,"teria","micutes","illi","9",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0001",157,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0005",154,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0019",132,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0024",127,"teria","micutes","illi","9",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0017",115,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0024",113,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0027",110,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0013",106,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0007",97,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0013",94,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0019",90,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0010",87,"teria","micutes","stridia","oglobales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0007",86,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0019",85,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0009",83,"teria","micutes","stridia","oglobales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0020",82,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0021",73,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0009",73,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0009",71,"teria","micutes","illi","9",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0016",71,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0020",70,"teria","micutes","stridia","oglobales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0008",65,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0012",60,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0020",57,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0011",55,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0011",47,"teria","micutes","illi","9",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0009",47,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0005",46,"teria","micutes","stridia","oglobales",NA,NA
